oid,collname,collnamespace,collowner
12722,en_GB.ISO8859-15,11,10
12723,fr_FR,11,10
12724,hy_AM.UTF-8,11,10
12725,no_NO.UTF-8,11,10
12726,es_ES.UTF-8,11,10
12727,de_AT,11,10
12728,tr_TR.UTF-8,11,10
12729,de_DE,11,10
12730,lt_LT,11,10
12731,tr_TR,11,10
12732,af_ZA,11,10
12733,af_ZA,11,10
12734,be_BY,11,10
12735,be_BY,11,10
12736,bg_BG,11,10
12737,ca_ES,11,10
12738,ca_ES,11,10
12739,cs_CZ,11,10
12740,da_DK,11,10
12741,da_DK,11,10
12742,de_AT,11,10
12743,de_AT,11,10
12744,de_CH,11,10
12745,de_CH,11,10
12746,de_DE,11,10
12747,de_DE,11,10
12748,el_GR,11,10
12749,en_AU,11,10
12750,en_AU,11,10
12751,en_CA,11,10
12752,en_CA,11,10
12753,en_GB,11,10
12754,en_GB,11,10
12755,en_NZ,11,10
12756,en_NZ,11,10
12757,en_US,11,10
12758,en_US,11,10
12759,es_ES,11,10
12760,es_ES,11,10
12761,et_EE,11,10
12762,eu_ES,11,10
12763,eu_ES,11,10
12764,fi_FI,11,10
12765,fi_FI,11,10
12766,fr_BE,11,10
12767,fr_BE,11,10
12768,fr_CA,11,10
12769,fr_CA,11,10
12770,fr_CH,11,10
12771,fr_CH,11,10
12772,fr_FR,11,10
12773,fr_FR,11,10
12774,hr_HR,11,10
12775,hu_HU,11,10
12776,is_IS,11,10
12777,is_IS,11,10
12778,it_CH,11,10
12779,it_CH,11,10
12780,it_IT,11,10
12781,it_IT,11,10
12782,ja_JP,11,10
12783,ko_KR,11,10
12784,lt_LT,11,10
12785,lt_LT,11,10
12786,nl_BE,11,10
12787,nl_BE,11,10
12788,nl_NL,11,10
12789,nl_NL,11,10
12790,no_NO,11,10
12791,no_NO,11,10
12792,pl_PL,11,10
12793,pt_BR,11,10
12794,pt_PT,11,10
12795,pt_PT,11,10
12796,ro_RO,11,10
12797,ru_RU,11,10
12798,ru_RU,11,10
12799,ru_RU,11,10
12800,ru_RU,11,10
12801,sk_SK,11,10
12802,sl_SI,11,10
12803,sr_YU,11,10
12804,sr_YU,11,10
12805,sv_SE,11,10
12806,sv_SE,11,10
12807,tr_TR,11,10
12808,uk_UA,11,10
12809,uk_UA,11,10
