oid,collname,collnamespace,collowner
13365,nl-NL-x-icu,11,10
13366,nl-SR-x-icu,11,10
13367,nl-SX-x-icu,11,10
13368,nmg-x-icu,11,10
13369,nmg-CM-x-icu,11,10
13370,nn-x-icu,11,10
13371,nn-NO-x-icu,11,10
13372,nnh-x-icu,11,10
13373,nnh-CM-x-icu,11,10
13374,no-x-icu,11,10
13375,nus-x-icu,11,10
13376,nus-SS-x-icu,11,10
13377,nyn-x-icu,11,10
13378,nyn-UG-x-icu,11,10
13379,om-x-icu,11,10
13380,om-ET-x-icu,11,10
13381,om-KE-x-icu,11,10
13382,or-x-icu,11,10
13383,or-IN-x-icu,11,10
13384,os-x-icu,11,10
13385,os-GE-x-icu,11,10
13386,os-RU-x-icu,11,10
13387,pa-x-icu,11,10
13388,pa-Arab-x-icu,11,10
13389,pa-Arab-PK-x-icu,11,10
13390,pa-Guru-x-icu,11,10
13391,pa-Guru-IN-x-icu,11,10
13392,pcm-x-icu,11,10
13393,pcm-NG-x-icu,11,10
13394,pl-x-icu,11,10
13395,pl-PL-x-icu,11,10
13396,ps-x-icu,11,10
13397,ps-AF-x-icu,11,10
13398,ps-PK-x-icu,11,10
13399,pt-x-icu,11,10
13400,pt-AO-x-icu,11,10
13401,pt-BR-x-icu,11,10
13402,pt-CH-x-icu,11,10
13403,pt-CV-x-icu,11,10
13404,pt-GQ-x-icu,11,10
13405,pt-GW-x-icu,11,10
13406,pt-LU-x-icu,11,10
13407,pt-MO-x-icu,11,10
13408,pt-MZ-x-icu,11,10
13409,pt-PT-x-icu,11,10
13410,pt-ST-x-icu,11,10
13411,pt-TL-x-icu,11,10
13412,qu-x-icu,11,10
13413,qu-BO-x-icu,11,10
13414,qu-EC-x-icu,11,10
13415,qu-PE-x-icu,11,10
13416,rm-x-icu,11,10
13417,rm-CH-x-icu,11,10
13418,rn-x-icu,11,10
13419,rn-BI-x-icu,11,10
13420,ro-x-icu,11,10
13421,ro-MD-x-icu,11,10
13422,ro-RO-x-icu,11,10
13423,rof-x-icu,11,10
13424,rof-TZ-x-icu,11,10
13425,ru-x-icu,11,10
13426,ru-BY-x-icu,11,10
13427,ru-KG-x-icu,11,10
13428,ru-KZ-x-icu,11,10
13429,ru-MD-x-icu,11,10
13430,ru-RU-x-icu,11,10
13431,ru-UA-x-icu,11,10
13432,rw-x-icu,11,10
13433,rw-RW-x-icu,11,10
13434,rwk-x-icu,11,10
13435,rwk-TZ-x-icu,11,10
13436,sa-x-icu,11,10
13437,sa-IN-x-icu,11,10
13438,sah-x-icu,11,10
13439,sah-RU-x-icu,11,10
13440,saq-x-icu,11,10
13441,saq-KE-x-icu,11,10
13442,sat-x-icu,11,10
13443,sat-Olck-x-icu,11,10
13444,sat-Olck-IN-x-icu,11,10
13445,sbp-x-icu,11,10
13446,sbp-TZ-x-icu,11,10
13447,sd-x-icu,11,10
13448,sd-Arab-x-icu,11,10
13449,sd-Arab-PK-x-icu,11,10
13450,sd-Deva-x-icu,11,10
13451,sd-Deva-IN-x-icu,11,10
13452,se-x-icu,11,10
13453,se-FI-x-icu,11,10
13454,se-NO-x-icu,11,10
13455,se-SE-x-icu,11,10
13456,seh-x-icu,11,10
13457,seh-MZ-x-icu,11,10
13458,ses-x-icu,11,10
13459,ses-ML-x-icu,11,10
13460,sg-x-icu,11,10
13461,sg-CF-x-icu,11,10
13462,shi-x-icu,11,10
13463,shi-Latn-x-icu,11,10
13464,shi-Latn-MA-x-icu,11,10
13465,shi-Tfng-x-icu,11,10
13466,shi-Tfng-MA-x-icu,11,10
13467,si-x-icu,11,10
13468,si-LK-x-icu,11,10
13469,sk-x-icu,11,10
13470,sk-SK-x-icu,11,10
13471,sl-x-icu,11,10
13472,sl-SI-x-icu,11,10
13473,smn-x-icu,11,10
13474,smn-FI-x-icu,11,10
13475,sn-x-icu,11,10
13476,sn-ZW-x-icu,11,10
13477,so-x-icu,11,10
13478,so-DJ-x-icu,11,10
13479,so-ET-x-icu,11,10
13480,so-KE-x-icu,11,10
13481,so-SO-x-icu,11,10
13482,sq-x-icu,11,10
13483,sq-AL-x-icu,11,10
13484,sq-MK-x-icu,11,10
13485,sq-XK-x-icu,11,10
13486,sr-x-icu,11,10
13487,sr-Cyrl-x-icu,11,10
13488,sr-Cyrl-BA-x-icu,11,10
13489,sr-Cyrl-ME-x-icu,11,10
13490,sr-Cyrl-RS-x-icu,11,10
13491,sr-Cyrl-XK-x-icu,11,10
13492,sr-Latn-x-icu,11,10
13493,sr-Latn-BA-x-icu,11,10
13494,sr-Latn-ME-x-icu,11,10
13495,sr-Latn-RS-x-icu,11,10
13496,sr-Latn-XK-x-icu,11,10
13497,su-x-icu,11,10
13498,su-Latn-x-icu,11,10
13499,su-Latn-ID-x-icu,11,10
13500,sv-x-icu,11,10
13501,sv-AX-x-icu,11,10
13502,sv-FI-x-icu,11,10
13503,sv-SE-x-icu,11,10
13504,sw-x-icu,11,10
13505,sw-CD-x-icu,11,10
13506,sw-KE-x-icu,11,10
13507,sw-TZ-x-icu,11,10
13508,sw-UG-x-icu,11,10
13509,ta-x-icu,11,10
13510,ta-IN-x-icu,11,10
13511,ta-LK-x-icu,11,10
13512,ta-MY-x-icu,11,10
13513,ta-SG-x-icu,11,10
13514,te-x-icu,11,10
13515,te-IN-x-icu,11,10
13516,teo-x-icu,11,10
13517,teo-KE-x-icu,11,10
13518,teo-UG-x-icu,11,10
13519,tg-x-icu,11,10
13520,tg-TJ-x-icu,11,10
13521,th-x-icu,11,10
13522,th-TH-x-icu,11,10
13523,ti-x-icu,11,10
13524,ti-ER-x-icu,11,10
13525,ti-ET-x-icu,11,10
13526,tk-x-icu,11,10
13527,tk-TM-x-icu,11,10
13528,to-x-icu,11,10
13529,to-TO-x-icu,11,10
13530,tr-x-icu,11,10
13531,tr-CY-x-icu,11,10
13532,tr-TR-x-icu,11,10
13533,tt-x-icu,11,10
13534,tt-RU-x-icu,11,10
13535,twq-x-icu,11,10
13536,twq-NE-x-icu,11,10
13537,tzm-x-icu,11,10
13538,tzm-MA-x-icu,11,10
13539,ug-x-icu,11,10
13540,ug-CN-x-icu,11,10
13541,uk-x-icu,11,10
13542,uk-UA-x-icu,11,10
13543,ur-x-icu,11,10
13544,ur-IN-x-icu,11,10
13545,ur-PK-x-icu,11,10
13546,uz-x-icu,11,10
13547,uz-Arab-x-icu,11,10
13548,uz-Arab-AF-x-icu,11,10
13549,uz-Cyrl-x-icu,11,10
13550,uz-Cyrl-UZ-x-icu,11,10
13551,uz-Latn-x-icu,11,10
13552,uz-Latn-UZ-x-icu,11,10
13553,vai-x-icu,11,10
13554,vai-Latn-x-icu,11,10
13555,vai-Latn-LR-x-icu,11,10
13556,vai-Vaii-x-icu,11,10
13557,vai-Vaii-LR-x-icu,11,10
13558,vi-x-icu,11,10
13559,vi-VN-x-icu,11,10
13560,vun-x-icu,11,10
13561,vun-TZ-x-icu,11,10
13562,wae-x-icu,11,10
13563,wae-CH-x-icu,11,10
13564,wo-x-icu,11,10
13565,wo-SN-x-icu,11,10
13566,xh-x-icu,11,10
13567,xh-ZA-x-icu,11,10
13568,xog-x-icu,11,10
13569,xog-UG-x-icu,11,10
13570,yav-x-icu,11,10
13571,yav-CM-x-icu,11,10
13572,yi-x-icu,11,10
13573,yi-001-x-icu,11,10
13574,yo-x-icu,11,10
13575,yo-BJ-x-icu,11,10
13576,yo-NG-x-icu,11,10
13577,yue-x-icu,11,10
13578,yue-Hans-x-icu,11,10
13579,yue-Hans-CN-x-icu,11,10
13580,yue-Hant-x-icu,11,10
13581,yue-Hant-HK-x-icu,11,10
13582,zgh-x-icu,11,10
13583,zgh-MA-x-icu,11,10
13584,zh-x-icu,11,10
13585,zh-Hans-x-icu,11,10
13586,zh-Hans-CN-x-icu,11,10
13587,zh-Hans-HK-x-icu,11,10
13588,zh-Hans-MO-x-icu,11,10
13589,zh-Hans-SG-x-icu,11,10
13590,zh-Hant-x-icu,11,10
13591,zh-Hant-HK-x-icu,11,10
13592,zh-Hant-MO-x-icu,11,10
13593,zh-Hant-TW-x-icu,11,10
13594,zu-x-icu,11,10
13595,zu-ZA-x-icu,11,10
